q,K,case,lower_mode,mean_N_req,median_N_req,q16_N_req,q84_N_req,mean_total_copy_cost,median_total_copy_cost,geom_mean_total_copy_cost,q16_total_copy_cost,q84_total_copy_cost,found_rate,fallback_rate,epsilon_eff_mean,B,num_grid,file,state
5,2,NM100_vary_NU,exact,15.433333333333334,14.0,10.0,21.0,30.866666666666667,28.0,28.828903456306204,20.0,42.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q5_data.npz,noisy_GHZ_p0.3
5,3,NM100_vary_NU,exact,15.943333333333333,14.0,10.0,21.0,47.83,42.0,44.45795980061257,30.0,63.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q5_data.npz,noisy_GHZ_p0.3
5,4,NM100_vary_NU,exact,16.60333333333333,12.0,10.0,25.0,66.41333333333333,48.0,60.105725160343475,40.0,100.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q5_data.npz,noisy_GHZ_p0.3
1,2,NM100_vary_NU,hierarchical,1117.0,1100.0,1000.0,1300.0,2234.0,2200.0,2210.258069410215,2000.0,2600.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
1,3,NM100_vary_NU,hierarchical,2883.3333333333335,2200.0,1300.0,4800.0,14416.666666666666,11000.0,11876.517731934176,6500.0,24000.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
1,4,NM100_vary_NU,hierarchical,27510.666666666668,17800.0,5500.0,50800.0,247596.0,160200.0,151121.76289507025,49500.0,457200.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
2,2,NM100_vary_NU,hierarchical,1041.3333333333333,1000.0,1000.0,1100.0,2082.6666666666665,2000.0,2075.488297256129,2000.0,2200.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,noisy_GHZ_p0.3
2,3,NM100_vary_NU,hierarchical,1656.0,1500.0,1000.0,2247.999999999999,8280.0,7500.0,7648.474747614209,5000.0,11239.999999999995,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,noisy_GHZ_p0.3
2,4,NM100_vary_NU,hierarchical,7213.0,5400.0,2200.0,11700.0,64917.0,48600.0,46406.91310068938,19800.0,105300.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q2_NU100000_NM100_data.npz,noisy_GHZ_p0.3
3,2,NM100_vary_NU,hierarchical,1011.3333333333334,1000.0,1000.0,1000.0,2022.6666666666667,2000.0,2021.5619328138955,2000.0,2000.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,noisy_GHZ_p0.3
3,3,NM100_vary_NU,hierarchical,1147.0,1000.0,1000.0,1300.0,5735.0,5000.0,5648.000075181484,5000.0,6500.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,noisy_GHZ_p0.3
3,4,NM100_vary_NU,hierarchical,1853.6666666666667,1500.0,1100.0,2800.0,16683.0,13500.0,15039.255338800358,9900.0,25200.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q3_NU100000_NM100_data.npz,noisy_GHZ_p0.3
4,2,NM100_vary_NU,hierarchical,1003.6666666666666,1000.0,1000.0,1000.0,2007.3333333333333,2000.0,2006.8439880831465,2000.0,2000.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,noisy_GHZ_p0.3
4,3,NM100_vary_NU,hierarchical,1025.0,1000.0,1000.0,1100.0,5125.0,5000.0,5116.186006534633,5000.0,5500.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,noisy_GHZ_p0.3
4,4,NM100_vary_NU,hierarchical,1105.0,1000.0,1000.0,1300.0,9945.0,9000.0,9859.330556026936,9000.0,11700.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q4_NU100000_NM100_data.npz,noisy_GHZ_p0.3
5,2,NM100_vary_NU,hierarchical,14.613333333333333,14.0,10.0,17.0,29.226666666666667,28.0,27.37200287672601,20.0,34.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q5_data.npz,noisy_GHZ_p0.3
5,3,NM100_vary_NU,hierarchical,29.623333333333335,23.0,12.0,44.0,88.87,69.0,71.36312923669816,36.0,132.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q5_data.npz,noisy_GHZ_p0.3
5,4,NM100_vary_NU,hierarchical,55.43666666666667,44.0,17.0,92.0,221.74666666666667,176.0,172.49533581775248,68.0,368.0,1.0,0.0,0.09999999999999999,300,70,noisy_ghz_n5_p0d3_depth5_q5_data.npz,noisy_GHZ_p0.3
