bootstrap,q,K,case,lower_mode,N_req,N_U_req,N_M_req,total_copy_cost,abs_error_at_crossing,epsilon_eff,found,used_fallback,file,state
15,1,3,NM1_vary_NU,exact,391,391,1,1173,0.0037727667515125574,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
15,1,4,NM1_vary_NU,exact,5355,5355,1,21420,0.06357498388457694,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
16,1,2,NM1_vary_NU,exact,32,32,1,64,0.03275297619047679,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
16,1,3,NM1_vary_NU,exact,2142,2142,1,6426,0.0006956138863781769,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
16,1,4,NM1_vary_NU,exact,19826,19826,1,79304,0.05204820972128632,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
17,1,2,NM1_vary_NU,exact,156,156,1,312,0.05877556471306522,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
17,1,3,NM1_vary_NU,exact,752,752,1,2256,0.04114871944855991,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
17,1,4,NM1_vary_NU,exact,7930,7930,1,31720,0.05562149406945044,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
18,1,2,NM1_vary_NU,exact,93,93,1,186,0.06549107142857191,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
18,1,3,NM1_vary_NU,exact,391,391,1,1173,0.0037727667515125574,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
